Municipi,Comarca,Altitud (m),Superfície (km²),Població,Longitud,Latitud
Maials,Segrià,395,57,911.0,,
Maldà,Urgell,428,31,234.0,,
Malgrat de Mar,Maresme,4,9,19093.0,,
Malla,Osona,580,11,272.0,,
Manlleu,Osona,461,17,20883.0,,
Manresa,Bages,238,42,77452.0,,
Marçà,Priorat,315,16,593.0,,
Margalef,Priorat,379,35,107.0,,
Marganell,Bages,291,14,282.0,,
Martorell,Baix Llobregat,56,13,28684.0,,
Martorelles,Vallès Oriental,96,4,4859.0,,
Mas de Barberans,Montsià,348,79,556.0,,
Masarac,Alt Empordà,85,13,294.0,,
Masdenverge,Montsià,54,15,1129.0,,
Masies de Roda,Osona,468,16,733.0,,
Masies de Voltregà,Osona,533,22,3133.0,,
Masllorenç,Baix Penedès,304,7,547.0,,
Masnou,Maresme,27,3,23829.0,,
Masó,Alt Camp,115,4,285.0,,
Maspujols,Baix Camp,214,4,859.0,,
Masquefa,Anoia,257,17,9744.0,,
Masroig,Priorat,192,16,479.0,,
Massalcoreig,Segrià,94,14,589.0,,
Massanes,Selva,164,26,825.0,,
Massoteres,Segarra,502,26,220.0,,
Matadepera,Vallès Occidental,423,25,9752.0,,
Mataró,Maresme,28,23,128956.0,,
Mediona,Alt Penedès,430,48,2517.0,,
Menàrguens,Noguera,205,20,774.0,,
Meranges,Cerdanya,1539,37,111.0,,
Mieres,Garrotxa,286,26,341.0,,
