Municipi,Comarca,Altitud (m),Superfície (km²),Població
Roca del Vallès,Vallès Oriental,123,37,10776
Rocafort de Queralt,Conca de Barberà,566,9,241
Roda de Berà,Tarragonès,57,17,7591
Roda de Ter,Osona,443,2,6555
Rodonyà,Alt Camp,312,9,506
Roquetes,Baix Ebre,14,137,8193
Roses,Alt Empordà,5,46,19907
Rosselló,Segrià,252,10,3278
Rourell,Alt Camp,114,2,395
Rubí,Vallès Occidental,123,32,77
Rubió,Anoia,629,48,244
Rupià,Baix Empordà,66,5,
Rupit i Pruit,Osona,822,48,279
Sabadell,Vallès Occidental,190,38,215760
Sagàs,Berguedà,738,45,157
Salàs de Pallars,Pallars Jussà,573,20,345
Saldes,Berguedà,1215,66,298
Sales de Llierca,Garrotxa,260,36,169
Sallent,Bages,278,65,6805
Salomó,Tarragonès,165,12,543
Salou,Tarragonès,2,15,29028
Salt,Gironès,83,7,32517
Sanaüja,Segarra,409,33,392
Sant Adrià de Besòs,Barcelonès,14,4,36918
Sant Agustí de Lluçanès,Osona,816,13,
Sant Andreu de la Barca,Baix Llobregat,42,6,26965
Sant Andreu de Llavaneres,Maresme,114,12,11593
Sant Andreu Salou,Gironès,132,6,162
Sant Aniol de Finestres,Garrotxa,289,48,363
Sant Antoni de Vilamajor,Vallès Oriental,258,14,6483
Sant Bartomeu del Grau,Osona,868,34,924
Sant Boi de Llobregat,Baix Llobregat,30,22,83371
Sant Boi de Lluçanès,Osona,813,20,575
Sant Cebrià de Vallalta,Maresme,71,16,3619
Sant Celoni,Vallès Oriental,152,65,18285
Sant Climent de Llobregat,Baix Llobregat,87,11,4170
Sant Climent Sescebes,Alt Empordà,86,24,696
Sant Cugat del Vallès,Vallès Occidental,124,48,95725
Sant Cugat Sesgarrigues,Alt Penedès,266,6,9
Sant Esteve de la Sarga,Pallars Jussà,875,93,123
Sant Esteve de Palautordera,Vallès Oriental,231,11,3043
Sant Esteve Sesrovires,Baix Llobregat,183,19,7889
Sant Feliu de Buixalleu,Selva,402,62,839
Sant Feliu de Codines,Vallès Oriental,480,15,6460
Sant Feliu de Guíxols,Baix Empordà,4,16,22149
Sant Feliu de Llobregat,Baix Llobregat,25,12,45642
